URL,Category,Cleaned_URLs,text
URL,Category,Cleaned_URLs,-1
url,category,:///,-1
http://tias.com/stores/grannyscupboard,Shopping,http://tias.com/,"The Internet Antique Shop - The Web's largest antiques & collectibles mall serving collectors since 1995antiques, antique dealer, antique stores, antique mall, collectible, collectibles, collectableOnline Antique and Collectibles Mall - over a half-million vintage antiques and collectible items for sale on-line."
http://www.go-kat-go.com/,Shopping,http://www.go-kat-go.com/,-1
http://monimania.home.att.net,Shopping,http://monimania.home.att.net/,-1
http://www.decodan.com,Shopping,http://www.decodan.com/,-1
http://www.decoworld.com,Shopping,http://www.decoworld.com/,"Web Page Under Constructiondomain name, domain names, domain name registration, whois, internic, dot com people, web address, TLD, .com, .net, .org, web forwarding, mail, registry, registrar, internet address, ICANN,web site, secureNetwork Solutions - Original domain name registration and reservation services with variety of internet-related business offerings. Quick, dependable and reliable."
http://www.ohioseeburgrepair.com,Shopping,http://www.ohioseeburgrepair.com/,-1
http://www.dowahdiddy.com/,Shopping,http://www.dowahdiddy.com/,"20th Century Pop Culture Collectibles, Vintage items from the 1930s, 1940s, 1950s, 1960s, 1970s.
Mid Century, Art Deco, atomic, sputnik, hairpin, space age, boomerang, 1950s, fifties, 1960s, sixties, 1970s, seventies, Mod, Bakelite, pinup, salt and pepper shakers, cowboy, vintage decorator items, funky furniture, vintage lighting, vintage jewelry, vintage advertising and promotional pieces, kitchen collectibles, vintage appliances, Danish designs, coffee table, night stand, desk, end table, cocktail cabinet, dinette set, hand chair, Conant Ball, Russel Wright, Lane, TV lamp, lighting, Elvis, Tiki, Marilyn Monroe, Chase, Pole lamp, flamingo, gnome, sconce, Route 66, Royal Copely, Shawnee, ashtray, Sasha Brastoff, steer heads, branding iron, poodle, Franciscan, Starburst, Mickey Mouse, pitcher, American Modern, happy face, Elsie The Cow, vase, snack, beverage set, Frankoma, Turner, shadow box, record, rack, Kit Kat, neon clock, fabric, curtains, ball clock, bowling, bucking bronco, magazine, book, ice bucket, spice set, martini, color aluminum, ice crusher, Coca Cola, mammy, Osterizer, blender, Campbells, sign, Kromex, Manning Bowman, Hamilton Beach, Sunbeam, Frigidaire, Westinghouse, Big Boy, toaster, calculator, Radio, Arvin, Telephone, Sylvania, Panasonic, 8 track, eight track, steam iron, fan, speakers, LP, EP, picture sleeve, Disney, lounge, rock and roll, Bettie Page, designer, Eames, Bogart, Sinatra, Beatles, retro, swizzle sticks, cocktail shaker, Christmas, Santa, ornament, tray, Hawaiian shirt, Polynesian, hula girl, bar, eyeglasses, sunglasses, coasters, Swank, cuff links, clock, calendar, nodder, Betty Boop, Tin, Wallace and Ladmo, James Dean, Jayne Mansfield, Beverly Hillbillies, Pattie Duke, I Love Lucy, Casablanca, lunch box, glossy photos, movie posters, Petty, Varga, Elvgren, magnets, Bob Dylan, Ricky Nelson, necktie, tie bar, western, Gunsmoke, jukebox, cateye, Dame Edna, Buddy Holly, John Lennon, vanity, Lucite, purse, rhinestone, copper jewelry, bola tie, Orphan Annie, Dick and Jane, slinky, Gomer Pyle, Howdy Doody, Dick Tracy, Disco, brooch, Renior, earrings, plastic, pendant, Rebajes, necklace, bracelet, Kramer, Matisse
Do Wah Diddy specializes in Mid Century furnishings, decorator items, memorabilia, vintage lighting, vintage kitchen collectibles, vintage ceramics, vintage jewelry and a vast array of collectibles."
http://www.trashdaddy.com/,Shopping,http://www.trashdaddy.com/,-1
http://ourworld.cs.com/sllmt12345,Shopping,http://ourworld.cs.com/,-1
http://www.classicmalt.com,Shopping,http://www.classicmalt.com/,-1
http://www.fearsandkahn.co.uk,Shopping,http://www.fearsandkahn.co.uk/,-1
http://www.hulaheaven.net/,Shopping,http://www.hulaheaven.net/,-1
http://www.pophouse.com/,Shopping,http://www.pophouse.com/,-1
http://www.munktiki.com/,Shopping,http://www.munktiki.com/,-1
http://www.barkclothhawaii.com/,Shopping,http://www.barkclothhawaii.com/,-1
http://www.tripback.com,Shopping,http://www.tripback.com/,** This domain may be for sale **domain for saleThis domain may be for sale
http://www.rubylane.com/shops/headsupvintage,Shopping,http://www.rubylane.com/,-1
http://www.retrojunction.com,Shopping,http://www.retrojunction.com/,-1
http://home.insightbb.com/~pedalit,Shopping,http://home.insightbb.com/,-1
http://www.atomic-tiki.com/,Shopping,http://www.atomic-tiki.com/,-1
http://www.deco-world.com/,Shopping,http://www.deco-world.com/,-1
http://www.aisletiki.com/,Shopping,http://www.aisletiki.com/,-1
http://www.hiandlomodern.com,Shopping,http://www.hiandlomodern.com/,-1
http://coolstuffnola.com,Shopping,http://coolstuffnola.com/,-1
http://www.classic-modern.co.uk/,Shopping,http://www.classic-modern.co.uk/,Classic Modern Midcentury DesignDanish modern Scandinavian midcentury postwar vintage 1950s 1960s 1970s space-age architect designers made in Denmark Finland Sweden lighting lights lamps pendant lights wall lamps table lamps floor lamps textiles curtains tablecloths fabricOriginal midcentury Danish modern lighting and textiles
http://www.cockamamies.com/,Shopping,http://www.cockamamies.com/,-1
http://www.lovebird.ca,Shopping,http://www.lovebird.ca/,-1
http://www.memoryworks.ca,Shopping,http://www.memoryworks.ca/,-1
http://kellysvintagestore.com,Shopping,http://kellysvintagestore.com/,-1
http://www.whiterail.com/,Shopping,http://www.whiterail.com/,-1
http://www.ritasretros.com,Shopping,http://www.ritasretros.com/,-1
http://www.antiqueheadvases.com,Shopping,http://www.antiqueheadvases.com/,-1
http://www.swankarama.com,Shopping,http://www.swankarama.com/,-1
http://www.idylic.co.uk,Shopping,http://www.idylic.co.uk/,-1
http://www.bartiki.com,Shopping,http://www.bartiki.com/,-1
http://www.theglassjunkie.com/,Shopping,http://www.theglassjunkie.com/,"Cartoon and promotional glasses store - unique cookie jars store -
vintage cocktail shakers storeBlack Friday Sale, Cyber Sale, Holiday Sale, vintage television show collectibles, cookie
jars, antiques and collectibles, vintage cocktail shakers, vintage toys and
games, cartoon and promotional glasses, television and movie memorabilia,
costume jewelry, Black Friday SaleCartoon and promotional glasses store, the
best in unique antiques and collectibles, cookie jars, vintage cocktail
shakers and vintage toys and games. Vintage television show collectibles,
cartoon and promotional glasses and television and movie memorabilia store -
costume jewelry, cookie jars; the best unique vintage store in town.  Black Friday Sale"
http://www.hepcat.se/,Shopping,http://www.hepcat.se/,"
	Quality Heritage Clothing & Lifestyle Accessories | HepCat Store in Lund & online 
Clothing, shoes, hats and accessories with style, quality and craftsmanship since 1999. Fast worldwide delivery. Buy online or in our stores in Lund and Höganäs."
http://betsyvintage.com,Shopping,http://betsyvintage.com/,-1
http://www.retrowonders.com/,Shopping,http://www.retrowonders.com/,-1
http://www.retroplanet.com/,Shopping,http://www.retroplanet.com/,-1
http://www.thedoghaus.com/,Shopping,http://www.thedoghaus.com/,-1
